, readtime ,kwh,kwh_usage,rkwh,rkwh usage,kvarh,kvarh usage,kvah,kvah usage,volts a,volts b,volts c,current angle deg a,current angle deg b,current angle deg c,pkw,pkvar,pkva,amps a,amps b,amps c,temperature
1,6/1/2026,54572.3715kWh,30.6128kWh,0kWh,0kWh,-,-,-,-,246.2v,-,-,-,-,-,5.459kW,-,-,-,-,-,29
2,6/2/2026,54605.5425kWh,33.171kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,5.459kW,-,-,-,-,-,32
3,6/3/2026,54633.7822kWh,28.2397kWh,0kWh,0kWh,-,-,-,-,246.7v,-,-,-,-,-,5.459kW,-,-,-,-,-,30
4,6/4/2026,54659.991kWh,26.2088kWh,0kWh,0kWh,-,-,-,-,247.1v,-,-,-,-,-,5.459kW,-,-,-,-,-,29
5,6/5/2026,54686.8759kWh,26.8849kWh,0kWh,0kWh,-,-,-,-,246.7v,-,-,-,-,-,5.459kW,-,-,-,-,-,30
6,6/6/2026,54718.752kWh,31.8761kWh,0kWh,0kWh,-,-,-,-,246.4v,-,-,-,-,-,5.459kW,-,-,-,-,-,30
7,6/7/2026,54750.7196kWh,31.9676kWh,0kWh,0kWh,-,-,-,-,246.6v,-,-,-,-,-,5.608kW,-,-,-,-,-,29
8,6/8/2026,54780.3075kWh,29.5879kWh,0kWh,0kWh,-,-,-,-,247v,-,-,-,-,-,5.608kW,-,-,-,-,-,28
9,6/9/2026,54810.2276kWh,29.9201kWh,0kWh,0kWh,-,-,-,-,246.6v,-,-,-,-,-,5.608kW,-,-,-,-,-,30
10,6/10/2026,54838.2147kWh,27.9871kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,5.608kW,-,-,-,-,-,28
11,6/11/2026,54871.3139kWh,33.0992kWh,0kWh,0kWh,-,-,-,-,246.5v,-,-,-,-,-,5.608kW,-,-,-,-,-,35
12,6/12/2026,54909.4151kWh,38.1012kWh,0kWh,0kWh,-,-,-,-,247.3v,-,-,-,-,-,5.608kW,-,-,-,-,-,31
13,6/13/2026,54944.2827kWh,34.8676kWh,0kWh,0kWh,-,-,-,-,247v,-,-,-,-,-,5.608kW,-,-,-,-,-,30
14,6/14/2026,54975.5084kWh,31.2257kWh,0kWh,0kWh,-,-,-,-,246.3v,-,-,-,-,-,5.608kW,-,-,-,-,-,30
15,6/15/2026,55004.5365kWh,29.0281kWh,0kWh,0kWh,-,-,-,-,247.2v,-,-,-,-,-,5.608kW,-,-,-,-,-,27
16,6/16/2026,55033.1361kWh,28.5996kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,5.608kW,-,-,-,-,-,28
17,6/17/2026,55059.848kWh,26.7119kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,5.608kW,-,-,-,-,-,28
18,6/18/2026,55099.0868kWh,39.2388kWh,0kWh,0kWh,-,-,-,-,246.4v,-,-,-,-,-,5.608kW,-,-,-,-,-,32
19,6/19/2026,55128.8486kWh,29.7618kWh,0kWh,0kWh,-,-,-,-,246.9v,-,-,-,-,-,5.608kW,-,-,-,-,-,27
20,6/20/2026,55162.2412kWh,33.3926kWh,0kWh,0kWh,-,-,-,-,246.8v,-,-,-,-,-,3.612kW,-,-,-,-,-,29
